,TeamName,LogID,TeamColor,GameMode,Map
94,The Hardworking Hornets,3657858,Red,KOTH,koth_product_final
95,The Hardworking Hornets,3654262,Red,PL,pl_vigil_rc10
96,The Hardworking Hornets,3654235,Red,PL,pl_vigil_rc10
97,The Hardworking Hornets,3654208,Red,PL,pl_vigil_rc10
98,The Hardworking Hornets,3654150,Blue,PL,pl_vigil_rc10
99,The Hardworking Hornets,3654086,Red,PL,pl_vigil_rc10
100,The Hardworking Hornets,3654046,Blue,PL,pl_vigil_rc10
101,The Hardworking Hornets,3653547,Red,PL,pl_vigil_rc10
102,The Hardworking Hornets,3653545,Red,PL,pl_vigil_rc10
103,The Hardworking Hornets,3653513,Blue,PL,pl_vigil_rc10
104,The Hardworking Hornets,3653461,Blue,PL,pl_vigil_rc10
105,The Hardworking Hornets,3653449,Blue,PL,pl_vigil_rc10
106,The Hardworking Hornets,3653400,Red,PL,pl_vigil_rc10
107,The Hardworking Hornets,3674498,Red,KOTH,koth_lakeside_r2
108,The Hardworking Hornets,3674442,Red,KOTH,koth_lakeside_r2
109,The Hardworking Hornets,3674408,Red,KOTH,koth_lakeside_r2
110,The Hardworking Hornets,3674358,Red,KOTH,koth_lakeside_r2
111,The Hardworking Hornets,3674330,Red,KOTH,koth_lakeside_r2
112,The Hardworking Hornets,3671041,Blue,PL,pl_upward_f12
113,The Hardworking Hornets,3670473,Red,PL,pl_upward_f12
114,The Hardworking Hornets,3670451,Red,PL,pl_upward_f12
115,The Hardworking Hornets,3670427,Blue,PL,pl_upward_f12
116,The Hardworking Hornets,3670400,Blue,PL,pl_upward_f12
117,The Hardworking Hornets,3670398,Blue,PL,pl_upward_f12
118,The Hardworking Hornets,3670353,Blue,PL,pl_upward_f12
119,The Hardworking Hornets,3666215,Blue,KOTH,koth_ashville_final1
120,The Hardworking Hornets,3666188,Blue,KOTH,koth_ashville_final1
121,The Hardworking Hornets,3657214,Red,KOTH,koth_product_final
122,The Hardworking Hornets,3657178,Red,KOTH,koth_product_final
123,The Hardworking Hornets,3657171,Red,KOTH,koth_product_final
124,The Hardworking Hornets,3657147,Red,KOTH,koth_product_final
125,The Hardworking Hornets,3657111,Red,KOTH,koth_product_final
126,The Hardworking Hornets,3657098,Red,KOTH,koth_product_final
127,The Hardworking Hornets,3666174,Blue,KOTH,koth_ashville_final1
128,The Hardworking Hornets,3666160,Blue,KOTH,koth_ashville_final1
129,The Hardworking Hornets,3666119,Blue,KOTH,koth_ashville_final1
130,The Hardworking Hornets,3662161,Blue,PL,pl_swiftwater_final1
131,The Hardworking Hornets,3662118,Red,PL,pl_swiftwater_final1
132,The Hardworking Hornets,3662083,Blue,PL,pl_swiftwater_final1
133,The Hardworking Hornets,3662080,Blue,PL,pl_swiftwater_final1
134,The Hardworking Hornets,3662036,Red,PL,pl_swiftwater_final1
135,The Hardworking Hornets,3652823,Red,PL,pl_vigil_rc10
136,The Hardworking Hornets,3652800,Red,PL,pl_vigil_rc10
137,The Hardworking Hornets,3652768,Blue,PL,pl_vigil_rc10
138,The Hardworking Hornets,3652743,Blue,PL,pl_vigil_rc10
139,The Hardworking Hornets,3652725,Red,PL,pl_vigil_rc10
140,The Hardworking Hornets,3652693,Blue,PL,pl_vigil_rc10
141,The Hardworking Hornets,3665563,Red,KOTH,koth_ashville_final
142,The Hardworking Hornets,3665536,Red,KOTH,koth_ashville_final
143,The Hardworking Hornets,3665515,Red,KOTH,koth_ashville_final1
144,The Hardworking Hornets,3665486,Red,KOTH,koth_ashville_final1
145,The Hardworking Hornets,3665461,Red,KOTH,koth_ashville_final1
146,The Hardworking Hornets,3673779,Red,KOTH,koth_lakeside_r2
147,The Hardworking Hornets,3673775,Blue,KOTH,koth_lakeside_r2
148,The Hardworking Hornets,3673740,Blue,KOTH,koth_lakeside_r2
149,The Hardworking Hornets,3673715,Blue,KOTH,koth_lakeside_r2
150,The Hardworking Hornets,3645370,Blue,PL,pl_vigil_rc10
151,The Hardworking Hornets,3645320,Blue,KOTH,koth_product_final
152,somebody help,3674469,Red,KOTH,koth_lakeside_r2
153,somebody help,3674444,Red,KOTH,koth_lakeside_r2
154,somebody help,3674407,Red,KOTH,koth_lakeside_r2
155,somebody help,3674377,Red,KOTH,koth_lakeside_r2
156,somebody help,3671156,Red,PL,pl_upward_f12
157,somebody help,3671147,Red,PL,pl_upward_f12
158,somebody help,3671081,Blue,PL,pl_upward_f12
159,somebody help,3670996,Red,PL,pl_upward_f12
160,somebody help,3670963,Blue,PL,pl_upward_f12
161,somebody help,3670497,Red,PL,pl_upward_f11
162,somebody help,3670456,Blue,PL,pl_upward_f11
163,somebody help,3670428,Red,PL,pl_upward_f11
164,somebody help,3670411,Red,PL,pl_upward_f11
165,somebody help,3670384,Red,PL,pl_upward_f10
166,somebody help,3670352,Blue,PL,pl_upward_f10
167,somebody help,3666897,Blue,KOTH,koth_ashville_final1
168,somebody help,3666855,Blue,KOTH,koth_ashville_final1
169,somebody help,3662759,Red,PL,pl_swiftwater_final1
170,somebody help,3662684,Blue,PL,pl_swiftwater_final1
171,somebody help,3662623,Red,PL,pl_swiftwater_final1
172,somebody help,3662587,Blue,PL,pl_swiftwater_final1
173,somebody help,3658533,Red,KOTH,koth_product_final
174,somebody help,3658495,Red,KOTH,koth_product_final
